Feature,Gain,Cover,Frequency
sa0100_ES,0.251958731316918,0.0780187018752855,0.00945945945945946
hsize,0.116519930875841,0.121291449278836,0.207207207207207
otherp,0.0987789529474874,0.0511757690379298,0.0759009009009009
sa0100_DE,0.0381504300922277,0.0713377753208176,0.00878378378378378
sa0100_FI,0.0366193228560634,0.030703675731508,0.0153153153153153
class_Worker,0.0327359070386468,0.00933082487027935,0.043018018018018
head_gendr,0.0302623202633297,0.0208287728059238,0.0637387387387387
wave_2,0.0291314232265577,0.00783437124355267,0.0434684684684685
class_Inactive,0.0251966442401132,0.0143616704509698,0.0234234234234234
edu_ref_tertiary,0.0234075875711827,0.0144467878616322,0.0346846846846847
age_30-49,0.0229146046499947,0.0279789829010327,0.0387387387387387
sa0100_NL,0.0225998548601154,0.0613353094511615,0.00968468468468468
sa0100_LV,0.0216105980291538,0.0632144443316268,0.00563063063063063
age_+70,0.0211072806421079,0.0381919748170567,0.0261261261261261
sa0100_IT,0.0208298787560477,0.0186156877938686,0.00990990990990991
homeown,0.0205139819367908,0.010631043942372,0.052027027027027
sa0100_GR,0.0172514753004047,0.0258124196324945,0.00630630630630631
edu_ref_secondary,0.0162860260499054,0.0178565770246005,0.0477477477477478
age_50-69,0.0161708224069297,0.00752124878740517,0.0403153153153153
wave_3,0.0151390022729473,0.0101497166862449,0.0425675675675676
wave_4,0.0146536923510143,0.00797533344001168,0.0279279279279279
sa0100_IE,0.0123963407760171,0.0463993925440518,0.00450450450450451
age_0-29,0.0116539853790403,0.0118241882300703,0.0277027027027027
sa0100_PL,0.0109756832837279,0.0339864172868336,0.00833333333333333
wave_1,0.0102635348606068,0.00610822913900591,0.0245495495495496
edu_ref_primary,0.00923108408449572,0.00882100658287066,0.0189189189189189
sa0100_PT,0.00885430733684292,0.012229088062378,0.00563063063063063
class_Manager,0.00727584705388924,0.0119522422594451,0.0105855855855856
sa0100_AT,0.00698877382833016,0.0211862687600036,0.00608108108108108
sa0100_MT,0.00493605946324602,0.00600390382603009,0.00518018018018018
sa0100_HU,0.0044406475057245,0.00680032899461607,0.00608108108108108
sa0100_CY,0.00398534713193633,0.0156302802011534,0.00472972972972973
sa0100_SI,0.00320978361026401,0.0137359721994751,0.00405405405405405
sa0100_EE,0.00264657174315721,0.0119136233516373,0.00540540540540541
sa0100_BE,0.00255967390644802,0.00628341725283099,0.00518018018018018
sa0100_SK,0.00200968368119624,0.0106446326566817,0.00630630630630631
class_Employer,0.00194387665114375,0.00659843938052089,0.00675675675675676
sa0100_LU,0.00172586657968234,0.0257408828524331,0.00743243243243243
sa0100_HR,0.00167933067930994,0.0145769204146041,0.00337837837837838
class_Self-Employed,0.00082614279861384,0.00731607112479991,0.00427927927927928
sa0100_LT,0.000558991962548437,0.0136361575959488,0.00292792792792793
