names,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.91089252931673,0.185311684696531,-21.1044032961076,2.97979405124985e-05
hsize,-0.244056776663988,0.00616517615784374,-39.5863427768375,2.43290083197596e-06
head_gendrfemale,0.00858262264406781,0.0129925727760339,0.660579147180098,0.544986131201838
age0-29,-0.857659593486615,0.04768383513699,-17.9863803115387,5.61667275643579e-05
age50-69,1.11550266333018,0.0170771992287243,65.3211717208219,3.2904639277843e-07
age+70,2.04629541678347,0.0210840275959599,97.054294179333,6.75748233703943e-08
edu_refsecondary,0.683036980918134,0.0211247923063374,32.3334294137995,5.45481228994244e-06
edu_reftertiary,0.653680639215966,0.0224960773893422,29.0575386945307,8.35015714335531e-06
quintile.gincometop-income,0.0953823277866514,0.0155692882700869,6.12631265681608,0.00359663901398144
quintile.gwealthtop-wealth,1.63509700941011,0.0146263224499932,111.791396299407,3.83960094559833e-08
