names,mean_estimates,combined_se,t_stats,p_values
(Intercept),-4.17016205151092,0.231008641856848,-18.0519742378084,5.53629920300274e-05
as.factor(wave)2,-0.296921885561492,0.11005225930657,-2.69800808663422,0.0542060767327143
as.factor(wave)3,-0.296109541925669,0.109319111538054,-2.70867131793872,0.0536109158147441
as.factor(wave)4,-0.27656110283428,0.1087593490987,-2.54287199331525,0.0637860671540808
hsize,-0.0730564580203603,0.00607015290256288,-12.03535713071,0.000273266795204456
head_gendrfemale,-0.0550197477979965,0.0142666179302436,-3.85653755269922,0.0182008604024756
age0-29,-0.964553970018227,0.0407021694026464,-23.6978515930287,1.88008425195089e-05
age50-69,1.33087091774921,0.0186962267912364,71.183930993661,2.33373861051124e-07
age+70,2.23024342394536,0.0224107949402763,99.5164798878775,6.1133454056316e-08
edu_refsecondary,0.853727399826318,0.0214988506893234,39.7103739247926,2.40271090611647e-06
edu_reftertiary,1.14943799315798,0.0230744830506028,49.8142467866881,9.71787049039077e-07
