names,mean_estimates,combined_se,t_stats,p_values
(Intercept),-0.698382918125394,,,
hsize,-0.0442453983916963,,,
head_gendrfemale,-0.00154704724425763,,,
age0-29,-0.031607373483589,,,
age50-69,0.0502134417320307,,,
age+70,0.0966958782078526,,,
edu_refsecondary,0.0130306070132141,,,
edu_reftertiary,0.0267448532496246,,,
quintile.gincometop-income,0.057299396601849,,,
quintile.gwealthtop-wealth,0.41707093735091,,,
classEmployer,0.0917064649800263,,,
classSelf-Employed,0.194608860975242,,,
classManager,-0.0125920476697025,,,
classInactive,0.0753656374414975,,,
