interleaved_names,V2,V2,V2,V2,V2,V2,V2
(Intercept),2002,2005,2008,2011,2014,2017,2020
coef,-106296.221,-119602.359,-52240.076,-18558.356,-3006.746,629.842,876.651
bage0-34,0,0,0,0,0,0,0
coef,-14.867,-97.107,-1902.781,-7304.818,-3391.806,-1544.536,-1075.123
bage35-44,0.928,0.81,0.025,0,0,0,0
coef,-25.666,-113.141,-1745.525,-4604.537,-3029.288,-861.518,-534.473
bage54-65,0.862,0.758,0.017,0,0,0,0
coef,62.554,256.848,3333.216,9100.016,1989.289,673.827,422.321
bage65-75,0.704,0.532,0,0,0,0,0
coef,59.803,-128.554,2122.964,4366.096,1647.641,236.384,431.202
bage75,0.771,0.792,0.034,0,0,0.096,0
coef,38.617,-186.416,621.061,-739.891,-1679.432,-268.325,186.081
classcapitalist,0.861,0.722,0.544,0.55,0,0.058,0.083
coef,47.562,287.507,5881.826,17518.775,5508.462,1277.237,779.059
classinactive,0.794,0.573,0,0,0,0,0
coef,-27.836,47.964,-689.346,-93.451,-418.723,-177.518,-282.892
classmanager,0.856,0.893,0.342,0.911,0.166,0.078,0
coef,212.455,1897.941,16385.405,18208.839,8072.966,2259.616,1538.502
classretired,0.283,0,0,0,0,0,0
coef,-35.046,68.705,-431.495,4717.574,2896.512,949.524,574.013
classself-employed,0.856,0.88,0.653,0,0,0,0
coef,-63.342,-134.665,7143.383,-4137.966,3775.746,312.523,230.721
(Intercept),0.968,0.948,0.161,0.511,0.066,0.635,0.537
