interleaved_names_int,V2,V2,V2,V2,V2,V2,V2
(Intercept),2002,2005,2008,2011,2014,2017,2020
coef,1584.396,2553.734,2107.656,1650.574,1124.808,870.707,920.687
bage0-34,0,0,0,0,0,0,0
coef,-1174.084,-2105.326,-1455.073,-1549.772,-1553.483,-1343.226,-1155.502
bage35-44,0,0,0,0,0,0,0
coef,-627.011,-908.418,-634.048,-735.915,-796.077,-611.49,-514.105
bage54-65,0,0,0,0,0,0,0
coef,-94.702,46.892,530.182,449.74,404.445,550.693,477.557
bage65-75,0.389,0.791,0.001,0.001,0.001,0,0
coef,1353.567,500.243,1499.146,324.486,445.686,1564.917,578.856
bage75,0.017,0.492,0.049,0.697,0.445,0,0.166
coef,-380.373,2315.669,2511.985,-2358.693,-1511.103,-1696.241,2439.736
classcapitalist,0.289,0.497,0.324,0.139,0.377,0.417,0.187
coef,629.401,1263.444,970.435,843.419,815.599,880.395,651.466
classinactive,0,0,0,0,0,0,0.005
coef,-336.602,-563.941,-537.473,-443.931,-67.206,59.08,-316.849
classmanager,0.017,0.011,0.004,0.003,0.62,0.669,0.017
coef,995.667,1510.077,1527.129,1191.907,1459.317,1614.816,1547.076
classretired,0,0,0,0,0,0,0
coef,-110.922,-1777.544,235.687,1309.549,-258.415,77.9,387.335
classself-employed,0.755,0.001,0.676,0.003,0.494,0.918,0.32
coef,1367.156,2015.612,596.898,-2382.479,1132.795,2502.279,0
bage0-34:classcapitalist,0.733,0.081,0.718,0.063,0.223,0.156,1
coef,438.856,360.574,-1239.874,1182.022,776.631,-1406.912,-806.138
bage35-44:classcapitalist,0.086,0.387,0.002,0.001,0.089,0.003,0.311
coef,457.735,229.412,558.836,823.262,355.256,547.503,323.036
bage54-65:classcapitalist,0.037,0.532,0.087,0.005,0.226,0.093,0.363
coef,352.095,801.566,493.843,680.524,420.066,86.335,112.833
bage65-75:classcapitalist,0.182,0.084,0.18,0.044,0.178,0.818,0.762
coef,-1654.086,551.982,-1930.851,-637.453,444.403,-979.876,1209.413
bage75:classcapitalist,0.089,0.733,0.119,0.545,0.681,0.422,0.781
coef,1118.128,-1263.444,-970.435,1292.515,2979.957,3318.124,-651.466
bage0-34:classinactive,0.89,0.905,0.903,0.526,0.914,0.828,0.938
coef,635.196,649.697,460.518,968.963,373.358,-126.394,461.873
bage35-44:classinactive,0.011,0.042,0.161,0,0.142,0.647,0.09
coef,133.647,468.704,384.632,214.414,-40.938,454,246.828
bage54-65:classinactive,0.517,0.135,0.175,0.313,0.84,0.028,0.229
coef,173.691,141.146,209.802,363.533,-291.4,-188.364,170.505
bage65-75:classinactive,0.389,0.647,0.438,0.117,0.152,0.348,0.392
coef,-1581.467,-880.463,-1320.056,515.915,39.743,-1782.971,146.266
bage75:classinactive,0.007,0.253,0.096,0.549,0.948,0,0.755
coef,-275.074,-2717.541,-2748.585,2385.222,1572.552,1775.326,-2259.608
bage0-34:classmanager,0.487,0.427,0.282,0.137,0.36,0.397,0.225
coef,-185.234,1403.566,-198.112,-426.641,609.862,-927.407,29.275
bage35-44:classmanager,0.596,0.008,0.72,0.399,0.352,0.011,0.942
coef,397.322,758.017,-495.164,-671.973,168.087,-74.415,-511.295
bage54-65:classmanager,0.101,0.035,0.181,0.045,0.538,0.755,0.039
coef,-117.381,-54.739,188.004,230.159,34.699,2.417,-328.316
bage65-75:classmanager,0.66,0.886,0.613,0.52,0.9,0.992,0.129
coef,-1315.412,-1099.344,-1021.247,-427.142,-460.687,-1376.605,-516.356
bage75:classmanager,0.041,0.177,0.23,0.632,0.472,0.002,0.267
coef,-167.753,-4633.131,-3024.603,1919.318,1100.097,1458.082,-2268.04
bage35-44:classretired,0.769,0.177,0.244,0.24,0.526,0.488,0.223
coef,512.872,3904.468,2910.346,-2142.255,-1009.962,194.294,1648.652
bage54-65:classretired,0.56,0,0.448,0.097,0.295,0.804,0.032
coef,289.497,2021.9,175.091,1731.105,1229.762,-517.29,136.611
bage65-75:classretired,0.455,0.001,0.775,0.176,0.003,0.546,0.753
coef,-1477.963,1087.183,-1505.954,-841.972,799.742,2146.189,-50.504
bage75:classretired,0.027,0.236,0.113,0.076,0.251,0.334,0.93
coef,-3271.231,-1375.135,-2916.947,-1286.16,2081.302,-3765.589,-2294.892
bage54-65:classself-employed,0.432,0.691,0.264,0.172,0.235,0.092,0.225
coef,-3193.747,1208.475,-1373.849,1202.692,-2506.744,-1473.676,-587.047
bage65-75:classself-employed,0.444,0.566,0.465,0.467,0.038,0.471,0.837
coef,2002,-2204.275,-655.275,2828.944,2014,-4815.24,306.432
(Intercept),1584.396,0.126,0.777,0.062,1124.808,0.012,0.915
coef,0,-5769.352,2008,2893.641,0,1696.241,2020
bage0-34,-1174.084,0.019,2107.656,0.22,-1553.483,0.669,920.687
coef,0,-6951.859,0,7045.909,0,2017,0
bage35-44,-627.011,0.134,-1455.073,0.009,-796.077,870.707,-1155.502
