vars,2002,2005,2008,2011,2014,2017,2020
(Intercept),1.2,1.066,0.996,0.925,0.946,0.957,0.98
p-val,0,0,0,0,0,0,0
bage0-34,0.059,0.077,0.142,0.159,0.243,0.091,0.002
p-val,0.048,0.002,0.012,0,0,0.067,0.967
bage35-44,-0.032,-0.038,0.014,0.024,0.114,0.035,-0.002
p-val,0.224,0.08,0.773,0.325,0,0.322,0.94
bage54-65,0.086,0.085,-0.017,0.054,-0.046,-0.042,-0.069
p-val,0.003,0,0.733,0.038,0.108,0.247,0.026
bage65-75,0.07,0.027,0.06,0.018,0.009,-0.035,-0.07
p-val,0.016,0.265,0.266,0.52,0.768,0.365,0.037
bage75,0.119,0.072,0.06,0.033,0.045,0.024,-0.035
p-val,0,0.008,0.285,0.229,0.149,0.544,0.32
sexWomen,0.004,-0.02,-0.015,-0.03,-0.031,-0.005,-0.023
p-val,0.805,0.152,0.634,0.071,0.087,0.832,0.264
educ,0.009,0.01,0.001,0.002,0,0,0
p-val,0.001,0,0.793,0.091,0.058,0.96,0.238
riquezafin,0,0,0,0,0,0,0
p-val,0,0,0,0,0,0,0
inheritInheritance,-0.038,0.042,0.021,-0.008,0.02,-0.008,-0.003
p-val,0.277,0.124,0.719,0.776,0.535,0.826,0.916
direc,0.146,0.227,0.131,0.141,0.119,0.159,0.177
p-val,0,0,0.036,0,0,0,0
homeownerHomeowner,-0.674,-0.635,-0.526,-0.421,-0.353,-0.334,-0.332
p-val,0,0,0,0,0,0,0
multipr,-0.022,0.006,-0.028,-0.049,-0.089,-0.129,-0.121
p-val,0.326,0.742,0.449,0.009,0,0,0
