[1] "################## MAIN MODEL ###################"
                  vars   2002   2005   2008
 1:        (Intercept)  1.098  1.052  1.057
 2:              p-val  0.000  0.000  0.000
 3:           bage0-34  0.140  0.117  0.132
 4:              p-val  0.000  0.000  0.000
 5:          bage35-44  0.065  0.029  0.061
 6:              p-val  0.000  0.008  0.000
 7:          bage54-65  0.009 -0.005 -0.038
 8:              p-val  0.538  0.651  0.003
 9:          bage65-75  0.023 -0.011 -0.006
10:              p-val  0.134  0.389  0.657
11:             bage75  0.053  0.019 -0.018
12:              p-val  0.005  0.219  0.247
13:           sexWomen  0.004 -0.013 -0.008
14:              p-val  0.708  0.072  0.301
15:               educ -0.012 -0.012 -0.011
16:              p-val  0.000  0.000  0.000
17:   riquezafinNonFin  0.056  0.028  0.058
18:              p-val  0.000  0.005  0.000
19: inheritInheritance  0.039  0.064  0.014
20:              p-val  0.050  0.000  0.391
21:              direc -0.025  0.040  0.017
22:              p-val  0.229  0.017  0.345
23: homeownerHomeowner -0.560 -0.511 -0.382
24:              p-val  0.000  0.000  0.000
25:            multipr  0.178  0.161 -0.152
26:              p-val  0.000  0.000  0.000
                  vars   2002   2005   2008
      2011   2014   2017   2020
 1:  0.985  0.943  0.945  0.947
 2:  0.000  0.000  0.000  0.000
 3:  0.129  0.123  0.054  0.026
 4:  0.000  0.000  0.000  0.014
 5:  0.048  0.083  0.037  0.039
 6:  0.000  0.000  0.000  0.000
 7: -0.052 -0.051 -0.047 -0.031
 8:  0.000  0.000  0.000  0.000
 9: -0.061 -0.061 -0.054 -0.049
10:  0.000  0.000  0.000  0.000
11: -0.036 -0.039 -0.024 -0.043
12:  0.001  0.000  0.017  0.000
13: -0.002 -0.006  0.004  0.001
14:  0.790  0.339  0.539  0.793
15: -0.002  0.000  0.000  0.000
16:  0.000  0.000  0.000  0.000
17:  0.065  0.075  0.074  0.057
18:  0.000  0.000  0.000  0.000
19:  0.023  0.032  0.024  0.008
20:  0.036  0.002  0.011  0.321
21: -0.037 -0.060 -0.019 -0.045
22:  0.005  0.000  0.093  0.000
23: -0.303 -0.233 -0.194 -0.234
24:  0.000  0.000  0.000  0.000
25: -0.171 -0.179 -0.169 -0.168
26:  0.000  0.000  0.000  0.000
      2011   2014   2017   2020
