vars,2002,2005,2008,2011,2014,2017,2020
(Intercept),145040.529,8.483,1.395,0.541,-0.259,-0.013,0
p-val,0,0,0,0,0,0.395,
bage35-44,22058.775,0.659,0.167,0.038,-0.001,0.006,0
p-val,0.048,0,0,0.001,0.932,0.678,
bage45-54,73365.26,0.695,0.218,0.092,0.025,0.002,0
p-val,0,0,0,0,0.005,0.881,
bage54-65,104234.436,1.017,0.248,0.085,0.009,-0.003,0
p-val,0,0,0,0,0.349,0.81,
bage65-75,103870.936,1.123,0.269,0.115,0.008,-0.006,0
p-val,0,0,0,0,0.417,0.7,
bage75,92567.846,1.262,0.369,0.121,0.007,-0.022,0
p-val,0,0,0,0,0.478,0.149,
sexWomen,-2157.746,0.154,-0.06,0.011,0.011,-0.005,0
p-val,0.781,0.05,0.001,0.09,0.022,0.449,
educ,15065.872,0.121,0.023,0.002,0,0,0
p-val,0,0,0,0.001,0.166,0.079,
riquezafinNonFin,-135639.961,-0.601,-0.049,-0.049,-0.031,0.025,0
p-val,0,0,0.072,0,0,0.007,
inheritInheritance,-14543.612,-0.125,0.039,0,-0.013,-0.001,0
p-val,0.348,0.458,0.286,0.979,0.124,0.956,
direc,97666.409,0.386,0.06,0.041,0.033,-0.045,0
p-val,0,0.033,0.133,0.005,0.001,0,
homeownerHomeowner,135722.107,6.534,1.026,0.32,0.146,-0.001,0
p-val,0,0,0,0,0,0.904,
multipr,-145961.745,-1.526,0.176,0.086,0.053,-0.012,0
p-val,0,0,0,0,0,0.119,
