[1] "################## MAIN MODEL ###################"
                  vars        2002
 1:        (Intercept)   92653.023
 2:              p-val       0.000
 3:           bage0-34  -85237.223
 4:              p-val       0.000
 5:          bage35-44  -53210.608
 6:              p-val       0.000
 7:          bage54-65   11213.244
 8:              p-val       0.210
 9:          bage65-75   12386.843
10:              p-val       0.186
11:             bage75   -3386.836
12:              p-val       0.766
13:           sexWomen   -6341.491
14:              p-val       0.288
15:               educ   11408.740
16:              p-val       0.000
17:   riquezafinNonFin  -61293.066
18:              p-val       0.000
19: inheritInheritance  -14368.931
20:              p-val       0.228
21:              direc   45881.952
22:              p-val       0.000
23: homeownerHomeowner  117766.471
24:              p-val       0.000
25:            multipr -105377.033
26:              p-val       0.000
                  vars        2002
           2005       2008       2011
 1:  106983.926 -40449.786 -39044.836
 2:       0.000      0.015      0.010
 3: -121292.382 -83617.973 -63838.377
 4:       0.000      0.000      0.000
 5:  -54314.745 -46496.298 -23484.900
 6:       0.000      0.000      0.024
 7:   28566.036  57681.375  85790.590
 8:       0.026      0.000      0.000
 9:   17265.471  36603.319  85692.579
10:       0.207      0.002      0.000
11:    2140.702  51285.239  56030.307
12:       0.900      0.000      0.000
13:    7185.925  -6010.563 -12224.717
14:       0.362      0.377      0.089
15:   15298.343  16304.799   2961.263
16:       0.000      0.000      0.000
17:  -44448.670 -78681.109 -76100.394
18:       0.000      0.000      0.000
19:  -67216.167 -12933.490 -20028.787
20:       0.000      0.350      0.134
21:   59839.378  24403.851  57091.073
22:       0.001      0.106      0.000
23:  205287.658 137430.872 123519.204
24:       0.000      0.000      0.000
25: -175695.471 180553.098 178124.459
26:       0.000      0.000      0.000
           2005       2008       2011
          2014       2017       2020
 1: -46885.191 -39094.112 -54915.624
 2:      0.000      0.001      0.000
 3: -39587.805 -35931.480 -23295.388
 4:      0.000      0.002      0.032
 5: -44017.160 -29764.241 -41140.932
 6:      0.000      0.000      0.000
 7:  48012.351  44715.634  30264.510
 8:      0.000      0.000      0.000
 9:  67157.286  48598.753  47260.693
10:      0.000      0.000      0.000
11:  40188.550  34442.183  32580.383
12:      0.000      0.001      0.001
13:  -1459.402 -13166.316   -419.750
14:      0.804      0.025      0.935
15:     51.494     64.016     66.026
16:      0.000      0.000      0.000
17: -74902.692 -80771.012 -66005.468
18:      0.000      0.000      0.000
19: -52254.243 -28756.859 -10337.601
20:      0.000      0.002      0.220
21:  51043.827  60329.892  65219.633
22:      0.000      0.000      0.000
23: 123110.641 116568.574 132373.961
24:      0.000      0.000      0.000
25: 193014.465 164066.215 143516.399
26:      0.000      0.000      0.000
          2014       2017       2020
