interleaved_names_int,V2,V2,V2,V2,V2,V2,V2
year,2002,2005,2008,2011,2014,2017,2020
(Intercept),0.367,0.295,0.523,0.564,0.252,0.356,0.836
p-val,0.95,0.548,0.621,0.335,0.684,0.838,0.807
bage0-34,0.163,0.224,0.222,0.22,0.31,0.227,0.168
p-val,0.231,0,0.012,0,0,0.082,0.316
bage35-44,0.042,-0.057,0.101,0.096,0.132,0.503,0.05
p-val,0.744,0.949,0.197,0.068,0.047,0.821,0.673
bage54-65,0.146,0.045,0.203,-0.066,0.433,0.092,0.004
p-val,0.981,0.942,0.865,0.923,0.589,0.964,0.999
bage65-75,0.239,0.184,-0.055,0.064,0.108,0.35,-0.143
p-val,0.969,0.855,0.968,0.949,0.78,0.851,0.967
bage75,0.031,0.215,-0.075,-0.157,0.477,-0.079,-0.376
p-val,0.953,0.873,0.963,0.875,0.674,0.981,0.868
classcapitalist,0.259,0.172,0.146,0.055,0.276,0.281,-0.209
p-val,0.965,0.732,0.891,0.926,0.661,0.873,0.952
classinactive,0.201,0.324,0.027,0.042,0.374,0.295,-0.101
p-val,0.973,0.516,0.98,0.943,0.549,0.866,0.976
classmanager,0.611,0.648,0.425,0.22,0.484,0.458,0.176
p-val,0.918,0.195,0.69,0.71,0.442,0.794,0.959
classretired,0.14,0.267,-0.049,-0.119,0.341,0.185,-0.263
p-val,0.981,0.625,0.965,0.847,0.609,0.922,0.939
classworker,0.132,0.178,-0.036,-0.041,0.362,0.297,-0.161
p-val,0.982,0.719,0.973,0.945,0.557,0.865,0.962
bage0-34:classcapitalist,-0.235,-0.101,-0.07,-0.354,-0.086,0.087,-0.002
p-val,0.533,0.57,0.787,0.037,0.775,0.853,0.998
bage35-44:classcapitalist,-0.167,0.087,-0.318,-0.246,-0.017,-0.526,-0.069
p-val,0.604,0.924,0.127,0.066,0.93,0.814,0.875
bage54-65:classcapitalist,-0.108,0.015,-0.117,0.4,-0.395,-0.188,-0.015
p-val,0.986,0.982,0.924,0.57,0.632,0.927,0.997
bage65-75:classcapitalist,-0.056,0.168,0.25,0.163,0.129,-0.405,0.946
p-val,0.993,0.887,0.87,0.877,0.857,0.853,0.881
bage75:classcapitalist,0.94,0.518,4.847,0.43,-0.116,0.703,1.196
p-val,0.937,0.908,0.339,0.709,0.995,0.963,0.907
bage0-34:classinactive,-0.064,-0.137,0.021,-0.061,-0.065,-0.018,-0.112
p-val,0.862,0.315,0.919,0.61,0.7,0.948,0.736
bage35-44:classinactive,-0.003,-0.01,-0.084,-0.088,-0.004,-0.463,-0.014
p-val,0.991,0.991,0.643,0.366,0.978,0.835,0.957
bage54-65:classinactive,-0.204,-0.125,-0.238,0.103,-0.467,-0.137,-0.107
p-val,0.973,0.84,0.843,0.882,0.564,0.946,0.976
bage65-75:classinactive,-0.29,-0.306,0.045,-0.177,-0.17,-0.355,0.002
p-val,0.962,0.763,0.974,0.861,0.675,0.849,1
bage75:classinactive,0.012,-0.32,0.137,0.086,-0.429,0.032,0.271
p-val,0.984,0.812,0.933,0.932,0.707,0.992,0.905
bage0-34:classmanager,-0.515,-0.581,-0.735,-0.41,0.623,-0.311,-0.547
p-val,0.317,0.01,0.038,0.077,0.152,0.39,0.263
bage35-44:classmanager,-0.489,-0.402,-0.268,0.039,-0.254,-0.625,-0.264
p-val,0.171,0.659,0.259,0.8,0.161,0.779,0.384
bage54-65:classmanager,0.248,0.504,-0.114,0.51,-0.112,-0.172,-0.189
p-val,0.968,0.422,0.926,0.47,0.891,0.933,0.957
bage65-75:classmanager,-0.502,-0.532,-0.081,0.268,0.425,-0.191,-0.12
p-val,0.934,0.601,0.955,0.792,0.318,0.919,0.972
bage75:classmanager,-0.007,-0.502,-0.08,0.176,-0.242,0.496,0.361
p-val,0.993,0.711,0.961,0.861,0.834,0.883,0.874
bage35-44:classretired,-0.097,-0.12,-0.219,-0.199,0.123,-0.036,-0.228
p-val,0.94,0.902,0.929,0.735,0.848,0.987,0.809
bage54-65:classretired,-0.145,-0.135,-0.197,-0.168,-0.545,-0.348,-0.016
p-val,0.981,0.837,0.875,0.773,0.519,0.862,0.996
bage65-75:classretired,-0.232,-0.261,0.121,0.116,-0.154,0.173,0.136
p-val,0.97,0.801,0.933,0.872,0.738,0.96,0.969
bage75:classretired,-0.104,-0.244,0.131,0.021,-0.482,-0.409,0.378
p-val,0.986,0.858,0.938,0.984,0.679,0.854,0.87
bage54-65:classworker,-0.016,0.112,-0.212,0.245,-0.45,-0.148,-0.071
p-val,0.998,0.901,0.86,0.809,0.575,0.942,0.984
bage65-75:classworker,2002,0.008,0.415,0.085,2014,-0.514,0.211
p-val,0.367,0.99,0.779,0.902,0.252,0.787,0.952
year,0.95,-0.118,2008,0.002,0.684,0.678,2020
(Intercept),0.163,0.91,0.523,0.999,0.31,0.863,0.836
p-val,0.231,-0.483,0.621,0.589,0,2017,0.807
bage0-34,0.042,0.807,0.222,0.633,0.132,0.356,0.168
