[1] "################## MAIN MODEL ###################"
               vars   2002   2005   2008  2011   2014   2017   2020
 1:     (Intercept)  0.728  0.387  0.695 0.493  0.482  0.625  0.828
 2:           p-val  0.625  0.226  0.160 0.094  0.162  0.200  0.064
 3:        bage0-34  0.133  0.198  0.201 0.170  0.320  0.204  0.092
 4:           p-val  0.391  0.001  0.015 0.001  0.000  0.058  0.496
 5:       bage35-44 -0.036 -0.021  0.036 0.058  0.105  0.053  0.010
 6:           p-val  0.793  0.705  0.610 0.174  0.051  0.501  0.918
 7:       bage54-65  0.072  0.079  0.011 0.088  0.031 -0.042 -0.087
 8:           p-val  0.641  0.209  0.892 0.057  0.593  0.603  0.357
 9:       bage65-75  0.007 -0.064  0.036 0.057  0.105  0.035 -0.094
10:           p-val  0.971  0.393  0.708 0.326  0.150  0.741  0.461
11:          bage75  0.079 -0.027  0.056 0.033  0.122  0.111 -0.043
12:           p-val  0.701  0.734  0.576 0.570  0.097  0.288  0.738
13: classcapitalist  0.034  0.207 -0.012 0.118  0.066  0.005 -0.186
14:           p-val  0.982  0.525  0.981 0.691  0.851  0.993  0.696
15:   classinactive  0.006  0.288 -0.091 0.098  0.113  0.000 -0.110
16:           p-val  0.997  0.368  0.853 0.739  0.741  1.000  0.806
17:    classmanager  0.456  0.652  0.255 0.466  0.411  0.223  0.089
18:           p-val  0.760  0.044  0.609 0.117  0.234  0.648  0.842
19:    classretired -0.057  0.258 -0.144 0.016 -0.006 -0.083 -0.189
20:           p-val  0.970  0.423  0.771 0.956  0.985  0.865  0.669
21:     classworker  0.006  0.251 -0.110 0.083  0.156  0.055 -0.126
22:           p-val  0.997  0.431  0.824 0.777  0.649  0.910  0.777
               vars   2002   2005   2008  2011   2014   2017   2020
[1] "################## INTERACTIONS MODEL ###################"
                         vars   2002   2005   2008  2011   2014   2017   2020
 1:               (Intercept)  0.728  0.387  0.695 0.493  0.482  0.625  0.828
 2:                     p-val  0.625  0.226  0.160 0.094  0.162  0.200  0.064
 3:                  bage0-34  0.133  0.198  0.201 0.170  0.320  0.204  0.092
 4:                     p-val  0.391  0.001  0.015 0.001  0.000  0.058  0.496
 5:                 bage35-44 -0.036 -0.021  0.036 0.058  0.105  0.053  0.010
 6:                     p-val  0.793  0.705  0.610 0.174  0.051  0.501  0.918
 7:                 bage54-65  0.072  0.079  0.011 0.088  0.031 -0.042 -0.087
 8:                     p-val  0.641  0.209  0.892 0.057  0.593  0.603  0.357
 9:                 bage65-75  0.007 -0.064  0.036 0.057  0.105  0.035 -0.094
10:                     p-val  0.971  0.393  0.708 0.326  0.150  0.741  0.461
11:                    bage75  0.079 -0.027  0.056 0.033  0.122  0.111 -0.043
12:                     p-val  0.701  0.734  0.576 0.570  0.097  0.288  0.738
13:           classcapitalist  0.034  0.207 -0.012 0.118  0.066  0.005 -0.186
14:                     p-val  0.982  0.525  0.981 0.691  0.851  0.993  0.696
15:             classinactive  0.006  0.288 -0.091 0.098  0.113  0.000 -0.110
16:                     p-val  0.997  0.368  0.853 0.739  0.741  1.000  0.806
17:              classmanager  0.456  0.652  0.255 0.466  0.411  0.223  0.089
18:                     p-val  0.760  0.044  0.609 0.117  0.234  0.648  0.842
19:              classretired -0.057  0.258 -0.144 0.016 -0.006 -0.083 -0.189
20:                     p-val  0.970  0.423  0.771 0.956  0.985  0.865  0.669
21:               classworker  0.006  0.251 -0.110 0.083  0.156  0.055 -0.126
22:                     p-val  0.997  0.431  0.824 0.777  0.649  0.910  0.777
23:  bage0-34:classcapitalist  0.728  0.387  0.695 0.493  0.482  0.625  0.828
24:                     p-val  0.625  0.226  0.160 0.094  0.162  0.200  0.064
25: bage35-44:classcapitalist  0.133  0.198  0.201 0.170  0.320  0.204  0.092
26:                     p-val  0.391  0.001  0.015 0.001  0.000  0.058  0.496
27: bage54-65:classcapitalist -0.036 -0.021  0.036 0.058  0.105  0.053  0.010
28:                     p-val  0.793  0.705  0.610 0.174  0.051  0.501  0.918
29: bage65-75:classcapitalist  0.072  0.079  0.011 0.088  0.031 -0.042 -0.087
30:                     p-val  0.641  0.209  0.892 0.057  0.593  0.603  0.357
31:    bage75:classcapitalist  0.007 -0.064  0.036 0.057  0.105  0.035 -0.094
32:                     p-val  0.971  0.393  0.708 0.326  0.150  0.741  0.461
33:    bage0-34:classinactive  0.079 -0.027  0.056 0.033  0.122  0.111 -0.043
34:                     p-val  0.701  0.734  0.576 0.570  0.097  0.288  0.738
35:   bage35-44:classinactive  0.034  0.207 -0.012 0.118  0.066  0.005 -0.186
36:                     p-val  0.982  0.525  0.981 0.691  0.851  0.993  0.696
37:   bage54-65:classinactive  0.006  0.288 -0.091 0.098  0.113  0.000 -0.110
38:                     p-val  0.997  0.368  0.853 0.739  0.741  1.000  0.806
39:   bage65-75:classinactive  0.456  0.652  0.255 0.466  0.411  0.223  0.089
40:                     p-val  0.760  0.044  0.609 0.117  0.234  0.648  0.842
41:      bage75:classinactive -0.057  0.258 -0.144 0.016 -0.006 -0.083 -0.189
42:                     p-val  0.970  0.423  0.771 0.956  0.985  0.865  0.669
43:     bage0-34:classmanager  0.006  0.251 -0.110 0.083  0.156  0.055 -0.126
44:                     p-val  0.997  0.431  0.824 0.777  0.649  0.910  0.777
45:    bage35-44:classmanager  0.728  0.387  0.695 0.493  0.482  0.625  0.828
46:                     p-val  0.625  0.226  0.160 0.094  0.162  0.200  0.064
47:    bage54-65:classmanager  0.133  0.198  0.201 0.170  0.320  0.204  0.092
48:                     p-val  0.391  0.001  0.015 0.001  0.000  0.058  0.496
49:    bage65-75:classmanager -0.036 -0.021  0.036 0.058  0.105  0.053  0.010
50:                     p-val  0.793  0.705  0.610 0.174  0.051  0.501  0.918
51:       bage75:classmanager  0.072  0.079  0.011 0.088  0.031 -0.042 -0.087
52:                     p-val  0.641  0.209  0.892 0.057  0.593  0.603  0.357
53:    bage35-44:classretired  0.007 -0.064  0.036 0.057  0.105  0.035 -0.094
54:                     p-val  0.971  0.393  0.708 0.326  0.150  0.741  0.461
55:    bage54-65:classretired  0.079 -0.027  0.056 0.033  0.122  0.111 -0.043
56:                     p-val  0.701  0.734  0.576 0.570  0.097  0.288  0.738
57:    bage65-75:classretired  0.034  0.207 -0.012 0.118  0.066  0.005 -0.186
58:                     p-val  0.982  0.525  0.981 0.691  0.851  0.993  0.696
59:     bage54-65:classworker  0.006  0.288 -0.091 0.098  0.113  0.000 -0.110
60:                     p-val  0.997  0.368  0.853 0.739  0.741  1.000  0.806
61:     bage65-75:classworker  0.456  0.652  0.255 0.466  0.411  0.223  0.089
62:                     p-val  0.760  0.044  0.609 0.117  0.234  0.648  0.842
                         vars   2002   2005   2008  2011   2014   2017   2020
