housing_pr,sa0100,period,wave
96.43,AT,2010-01-01,1
122.82,AT,2014-01-01,2
145.24,AT,2017-01-01,3
188.42,AT,2021-01-01,4
98.22,BE,2010-01-01,1
105.53,BE,2014-01-01,2
114.25,BE,2017-01-01,3
134.35,BE,2021-01-01,4
101.3,BG,2010-01-01,1
91.35,BG,2014-01-01,2
106.48,BG,2017-01-01,3
137.72,BG,2021-01-01,4
101.31,CY,2010-01-01,1
86.88,CY,2014-01-01,2
88.26,CY,2017-01-01,3
91.09,CY,2021-01-01,4
100,CZ,2010-01-01,1
99.7,CZ,2014-01-01,2
122.1,CZ,2017-01-01,3
177.4,CZ,2021-01-01,4
99,DE,2010-01-01,1
111.9,DE,2014-01-01,2
132.3,DE,2017-01-01,3
174.5,DE,2021-01-01,4
98.3,DK,2010-01-01,1
100.62,DK,2014-01-01,2
118.69,DK,2017-01-01,3
148.94,DK,2021-01-01,4
98.35,EE,2010-01-01,1
142.42,EE,2014-01-01,2
169.14,EE,2017-01-01,3
226.81,EE,2021-01-01,4
99.65,ES,2010-01-01,1
70.75,ES,2014-01-01,2
80.42,ES,2017-01-01,3
95.22,ES,2021-01-01,4
98.8,FI,2010-01-01,1
106.58,FI,2014-01-01,2
108.33,FI,2017-01-01,3
115.64,FI,2021-01-01,4
96.91,FR,2010-01-01,1
101.59,FR,2014-01-01,2
102.8,FR,2017-01-01,3
120.46,FR,2021-01-01,4
101.1,HU,2010-01-01,1
91.55,HU,2014-01-01,2
130.52,HU,2017-01-01,3
209.22,HU,2021-01-01,4
105.26,IE,2010-01-01,1
77.43,IE,2014-01-01,2
106.98,IE,2017-01-01,3
130.56,IE,2021-01-01,4
98.9,IT,2010-01-01,1
89.5,IT,2014-01-01,2
83.9,IT,2017-01-01,3
85.6,IT,2021-01-01,4
98.28,LT,2010-01-01,1
110.83,LT,2014-01-01,2
131.9,LT,2017-01-01,3
182.52,LT,2021-01-01,4
99.94,LU,2010-01-01,1
114,LU,2014-01-01,2
137.06,LU,2017-01-01,3
208.6,LU,2021-01-01,4
97.72,LV,2010-01-01,1
128.67,LV,2014-01-01,2
140.77,LV,2017-01-01,3
186.65,LV,2021-01-01,4
100.51,MT,2010-01-01,1
101.96,MT,2014-01-01,2
116,MT,2017-01-01,3
143.7,MT,2021-01-01,4
100.19,NL,2010-01-01,1
86,NL,2014-01-01,2
98.45,NL,2017-01-01,3
137.65,NL,2021-01-01,4
97.58,NO,2010-01-01,1
120,NO,2014-01-01,2
151.6,NO,2017-01-01,3
177.12,NO,2021-01-01,4
99.05,PL,2010-01-01,1
91.99,PL,2014-01-01,2
97.84,PL,2017-01-01,3
133.66,PL,2021-01-01,4
100.36,PT,2010-01-01,1
89.57,PT,2014-01-01,2
104.23,PT,2017-01-01,3
150.62,PT,2021-01-01,4
103.67,RO,2010-01-01,1
82.29,RO,2014-01-01,2
91.15,RO,2017-01-01,3
109.96,RO,2021-01-01,4
97.94,SE,2010-01-01,1
115.16,SE,2014-01-01,2
154.16,SE,2017-01-01,3
174.27,SE,2021-01-01,4
100.18,SI,2010-01-01,1
86.61,SI,2014-01-01,2
91.87,SI,2017-01-01,3
121.71,SI,2021-01-01,4
100.8,SK,2010-01-01,1
96.46,SK,2014-01-01,2
110.64,SK,2017-01-01,3
150.66,SK,2021-01-01,4
98.46,UK,2010-01-01,1
104.95,UK,2014-01-01,2
126.31,UK,2017-01-01,3
