vars,2002,2005,2008,2011,2014,2017,2020
(Intercept),1.567,0.714,1.087,2.625,-0.341,5.388,3.152
p-val,0.117,0.083,0.034,0.182,0.911,0.263,0.005
bage0-34,1.295,1.145,0.746,2.964,5.59,8.215,2.504
p-val,0,0,0,0,0,0,0
bage35-44,0.735,0.537,0.516,1.741,4.088,4.324,1.657
p-val,0,0,0,0,0,0,0
bage54-65,-0.015,-0.198,-0.744,-3.105,-3.457,-6.155,-1.627
p-val,0.889,0.015,0,0,0,0,0
bage65-75,0.304,0.37,-0.315,-2.035,-3.743,-6.058,-2.293
p-val,0.019,0,0.002,0,0,0,0
bage75,0.716,0.685,0.045,0.02,1.057,-0.876,-1.505
p-val,0,0,0.664,0.959,0.105,0.395,0
classcapitalist,-1.237,-0.399,-0.439,-2.042,-0.211,-7.565,-1.916
p-val,0.217,0.343,0.397,0.305,0.946,0.126,0.106
classinactive,-0.225,0.421,0.493,0.953,5.111,3.358,0.626
p-val,0.821,0.307,0.336,0.628,0.094,0.484,0.573
classmanager,-1.937,-0.569,-0.86,-3.596,-5.223,-11.671,-4.206
p-val,0.053,0.172,0.097,0.07,0.089,0.015,0
classretired,-0.589,0.127,0.134,-0.895,1.397,-2.824,-0.846
p-val,0.555,0.76,0.795,0.65,0.646,0.556,0.443
classworker,-0.411,0.298,0.148,0.221,4.457,1.294,-0.156
p-val,0.681,0.47,0.773,0.911,0.145,0.787,0.888
