vars,2002,2005,2008,2011,2014,2017,2020
(Intercept),13780.365,21416.605,17831.353,-23666.835,-41899.057,-57468.055,-38963.217
p-val,0,0,0,0,0,0,0
bage0-34,0,0,0,0,0,0,0
p-val,0.046,0.751,0.575,0.981,0.892,0.993,0.75
bage35-44,0,0,0,0,0,0,0
p-val,0.032,0.109,0.551,0.997,0.04,0.964,0.847
bage54-65,0,0,0,0,0,0,0
p-val,0.09,0.995,0.455,0.552,0.836,0.912,0.53
bage65-75,0,0,0,0,0,0,0
p-val,0.296,0.7,0.417,0.802,0.745,0.262,0
bage75,0,0,0,0,0,0,0
p-val,0.337,0.764,0.413,0.789,0.749,0.625,0.018
classcapitalist,0,0,0,0,0,0,0
p-val,0.996,0.897,0.931,0.953,0.977,0.878,0.399
classinactive,0,0,0,0,0,0,0
p-val,0.994,0.949,0.974,0.958,0.995,0.853,0.497
classmanager,0,0,0,0,0,0,0
p-val,0.991,0.629,0.938,0.973,0.98,0.877,0.631
classretired,0,0,0,0,0,0,0
p-val,0.999,0.935,0.996,0.982,0.996,0.705,0.957
classworker,0,0,0,0,0,0,0
p-val,0.932,0.842,0.927,0.925,0.892,0.86,0.264
bage0-34:classcapitalist,13780.365,21416.605,17831.353,-23666.835,-41899.057,-57468.055,-38963.217
p-val,0,0,0,0,0,0,0
bage35-44:classcapitalist,0,0,0,0,0,0,0
p-val,0.046,0.751,0.575,0.981,0.892,0.993,0.75
bage54-65:classcapitalist,0,0,0,0,0,0,0
p-val,0.032,0.109,0.551,0.997,0.04,0.964,0.847
bage65-75:classcapitalist,0,0,0,0,0,0,0
p-val,0.09,0.995,0.455,0.552,0.836,0.912,0.53
bage75:classcapitalist,0,0,0,0,0,0,0
p-val,0.296,0.7,0.417,0.802,0.745,0.262,0
bage0-34:classinactive,0,0,0,0,0,0,0
p-val,0.337,0.764,0.413,0.789,0.749,0.625,0.018
bage35-44:classinactive,0,0,0,0,0,0,0
p-val,0.996,0.897,0.931,0.953,0.977,0.878,0.399
bage54-65:classinactive,0,0,0,0,0,0,0
p-val,0.994,0.949,0.974,0.958,0.995,0.853,0.497
bage65-75:classinactive,0,0,0,0,0,0,0
p-val,0.991,0.629,0.938,0.973,0.98,0.877,0.631
bage75:classinactive,0,0,0,0,0,0,0
p-val,0.999,0.935,0.996,0.982,0.996,0.705,0.957
bage0-34:classmanager,0,0,0,0,0,0,0
p-val,0.932,0.842,0.927,0.925,0.892,0.86,0.264
bage35-44:classmanager,13780.365,21416.605,17831.353,-23666.835,-41899.057,-57468.055,-38963.217
p-val,0,0,0,0,0,0,0
bage54-65:classmanager,0,0,0,0,0,0,0
p-val,0.046,0.751,0.575,0.981,0.892,0.993,0.75
bage65-75:classmanager,0,0,0,0,0,0,0
p-val,0.032,0.109,0.551,0.997,0.04,0.964,0.847
bage75:classmanager,0,0,0,0,0,0,0
p-val,0.09,0.995,0.455,0.552,0.836,0.912,0.53
bage35-44:classretired,0,0,0,0,0,0,0
p-val,0.296,0.7,0.417,0.802,0.745,0.262,0
bage54-65:classretired,0,0,0,0,0,0,0
p-val,0.337,0.764,0.413,0.789,0.749,0.625,0.018
bage65-75:classretired,0,0,0,0,0,0,0
p-val,0.996,0.897,0.931,0.953,0.977,0.878,0.399
bage54-65:classworker,0,0,0,0,0,0,0
p-val,0.994,0.949,0.974,0.958,0.995,0.853,0.497
bage65-75:classworker,0,0,0,0,0,0,0
p-val,0.991,0.629,0.938,0.973,0.98,0.877,0.631
