vars,2002,2005,2008,2011,2014,2017,2020
(Intercept),7.433,6.823,4.846,6.035,5.565,5.723,6.964
p-val,0,0,0,0,0,0,0
bage35-44,0.299,0.53,0.753,0.553,1.156,0.955,-0.794
p-val,0.001,0,0,0,0,0,0
bage45-54,0.546,0.559,1.122,1.254,1.7,1.371,-0.559
p-val,0,0,0,0,0,0,0.002
bage54-65,0.671,0.818,1.356,1.278,2.108,1.731,-0.1
p-val,0,0,0,0,0,0,0.595
bage65-75,0.922,0.903,1.374,1.655,2.28,1.925,-0.02
p-val,0,0,0,0,0,0,0.919
bage75,0.906,1.015,1.832,1.675,2.725,2.202,0.572
p-val,0,0,0,0,0,0,0.007
sexWomen,-0.005,0.124,-0.199,0.127,-0.001,0.048,-0.164
p-val,0.938,0.05,0.007,0.099,0.988,0.576,0.057
educ,0.102,0.097,0.132,0.027,0.001,0.001,0.001
p-val,0,0,0,0,0,0,0
riquezafinNonFin,-0.709,-0.484,-0.486,-0.887,-1.25,-0.986,-0.974
p-val,0,0,0,0,0,0,0
inheritInheritance,-0.276,-0.1,0.111,-0.074,0.176,-0.032,0.118
p-val,0.028,0.458,0.459,0.604,0.28,0.815,0.404
direc,0.213,0.31,0.454,0.723,0.781,0.639,0.909
p-val,0.104,0.033,0.005,0,0,0,0
homeownerHomeowner,4.406,5.256,5.397,4.491,3.981,3.711,4.207
p-val,0,0,0,0,0,0,0
multipr,-1.061,-1.228,1.218,1.456,1.601,1.96,2.265
p-val,0,0,0,0,0,0,0
