[1] "################## MAIN MODEL ###################"
                  vars        2002   2005
 1:        (Intercept)  145040.529  8.483
 2:              p-val       0.000  0.000
 3:          bage35-44   22058.775  0.659
 4:              p-val       0.048  0.000
 5:          bage45-54   73365.260  0.695
 6:              p-val       0.000  0.000
 7:          bage54-65  104234.436  1.017
 8:              p-val       0.000  0.000
 9:          bage65-75  103870.936  1.123
10:              p-val       0.000  0.000
11:             bage75   92567.846  1.262
12:              p-val       0.000  0.000
13:           sexWomen   -2157.746  0.154
14:              p-val       0.781  0.050
15:               educ   15065.872  0.121
16:              p-val       0.000  0.000
17:   riquezafinNonFin -135639.961 -0.601
18:              p-val       0.000  0.000
19: inheritInheritance  -14543.612 -0.125
20:              p-val       0.348  0.458
21:              direc   97666.409  0.386
22:              p-val       0.000  0.033
23: homeownerHomeowner  135722.107  6.534
24:              p-val       0.000  0.000
25:            multipr -145961.745 -1.526
26:              p-val       0.000  0.000
                  vars        2002   2005
      2008   2011   2014   2017 2020
 1:  1.395  0.541 -0.259 -0.013    0
 2:  0.000  0.000  0.000  0.395  NaN
 3:  0.167  0.038 -0.001  0.006    0
 4:  0.000  0.001  0.932  0.678  NaN
 5:  0.218  0.092  0.025  0.002    0
 6:  0.000  0.000  0.005  0.881  NaN
 7:  0.248  0.085  0.009 -0.003    0
 8:  0.000  0.000  0.349  0.810  NaN
 9:  0.269  0.115  0.008 -0.006    0
10:  0.000  0.000  0.417  0.700  NaN
11:  0.369  0.121  0.007 -0.022    0
12:  0.000  0.000  0.478  0.149  NaN
13: -0.060  0.011  0.011 -0.005    0
14:  0.001  0.090  0.022  0.449  NaN
15:  0.023  0.002  0.000  0.000    0
16:  0.000  0.001  0.166  0.079  NaN
17: -0.049 -0.049 -0.031  0.025    0
18:  0.072  0.000  0.000  0.007  NaN
19:  0.039  0.000 -0.013 -0.001    0
20:  0.286  0.979  0.124  0.956  NaN
21:  0.060  0.041  0.033 -0.045    0
22:  0.133  0.005  0.001  0.000  NaN
23:  1.026  0.320  0.146 -0.001    0
24:  0.000  0.000  0.000  0.904  NaN
25:  0.176  0.086  0.053 -0.012    0
26:  0.000  0.000  0.000  0.119  NaN
      2008   2011   2014   2017 2020
