[1] "################## MAIN MODEL ###################"
     vars        2002        2005        2008        2011        2014        2017        2020
 1:     1    2002.000    2005.000    2008.000    2011.000    2014.000    2017.000    2020.000
 2: p-val   69461.605  302602.330  196339.528  163244.546  105377.382   57084.704  105110.044
 3:     2       0.350       0.000       0.004       0.007       0.036       0.238       0.004
 4: p-val -105607.363 -187122.349 -149345.668 -125160.439 -139990.483 -152503.276 -107572.569
 5:     3       0.000       0.000       0.000       0.000       0.000       0.000       0.000
 6: p-val  -51011.097  -69092.334  -55292.108  -64782.511  -74479.813  -51948.395  -49763.884
 7:     4       0.000       0.000       0.000       0.000       0.000       0.000       0.000
 8: p-val   -2801.107    8719.838   66848.475   63203.755   42625.026   47177.145   46625.525
 9:     5       0.717       0.464       0.000       0.000       0.000       0.000       0.000
10: p-val  -27648.878  -48648.003   11799.174   18412.378   42089.842   36677.123   45169.580
11:     6       0.004       0.001       0.383       0.124       0.000       0.000       0.000
12: p-val  -62376.767 -107795.658  -34175.323  -14062.546  -15482.381   -5723.675   12776.538
13:     7       0.000       0.000       0.014       0.236       0.148       0.581       0.223
14: p-val  175295.880   94693.323  116470.801  128440.998  113382.059  121986.556   61532.036
15:     8       0.019       0.124       0.095       0.035       0.027       0.014       0.114
16: p-val   61563.906  -79190.527  -27183.759  -19451.145   -1930.564   35968.858  -29785.618
17:     9       0.406       0.189       0.693       0.747       0.969       0.457       0.414
18: p-val  193603.075  100567.891  160336.911   93388.546  145334.188  180622.888  120708.107
19:    10       0.009       0.099       0.021       0.125       0.004       0.000       0.001
20: p-val   96810.122  -22859.160   30428.869   27848.761   62162.754   93931.345   32627.264
21:    11       0.192       0.706       0.660       0.645       0.214       0.052       0.367
22: p-val   81732.790  -60414.888   11105.310   -9851.538    2430.415   32093.747  -13967.873
23:     1       0.271       0.315       0.872       0.870       0.961       0.507       0.701
     vars        2002        2005        2008        2011        2014        2017        2020
[1] "################## INTERACTIONS MODEL ###################"
     vars        2002        2005        2008        2011        2014        2017        2020
 1:     1    2002.000    2005.000    2008.000    2011.000    2014.000    2017.000    2020.000
 2: p-val   69461.605  302602.330  196339.528  163244.546  105377.382   57084.704  105110.044
 3:     2       0.350       0.000       0.004       0.007       0.036       0.238       0.004
 4: p-val -105607.363 -187122.349 -149345.668 -125160.439 -139990.483 -152503.276 -107572.569
 5:     3       0.000       0.000       0.000       0.000       0.000       0.000       0.000
 6: p-val  -51011.097  -69092.334  -55292.108  -64782.511  -74479.813  -51948.395  -49763.884
 7:     4       0.000       0.000       0.000       0.000       0.000       0.000       0.000
 8: p-val   -2801.107    8719.838   66848.475   63203.755   42625.026   47177.145   46625.525
 9:     5       0.717       0.464       0.000       0.000       0.000       0.000       0.000
10: p-val  -27648.878  -48648.003   11799.174   18412.378   42089.842   36677.123   45169.580
11:     6       0.004       0.001       0.383       0.124       0.000       0.000       0.000
12: p-val  -62376.767 -107795.658  -34175.323  -14062.546  -15482.381   -5723.675   12776.538
13:     7       0.000       0.000       0.014       0.236       0.148       0.581       0.223
14: p-val  175295.880   94693.323  116470.801  128440.998  113382.059  121986.556   61532.036
15:     8       0.019       0.124       0.095       0.035       0.027       0.014       0.114
16: p-val   61563.906  -79190.527  -27183.759  -19451.145   -1930.564   35968.858  -29785.618
17:     9       0.406       0.189       0.693       0.747       0.969       0.457       0.414
18: p-val  193603.075  100567.891  160336.911   93388.546  145334.188  180622.888  120708.107
19:    10       0.009       0.099       0.021       0.125       0.004       0.000       0.001
20: p-val   96810.122  -22859.160   30428.869   27848.761   62162.754   93931.345   32627.264
21:    11       0.192       0.706       0.660       0.645       0.214       0.052       0.367
22: p-val   81732.790  -60414.888   11105.310   -9851.538    2430.415   32093.747  -13967.873
23:     1       0.271       0.315       0.872       0.870       0.961       0.507       0.701
24: p-val    2002.000    2005.000    2008.000    2011.000    2014.000    2017.000    2020.000
25:     2   69461.605  302602.330  196339.528  163244.546  105377.382   57084.704  105110.044
26: p-val       0.350       0.000       0.004       0.007       0.036       0.238       0.004
27:     3 -105607.363 -187122.349 -149345.668 -125160.439 -139990.483 -152503.276 -107572.569
28: p-val       0.000       0.000       0.000       0.000       0.000       0.000       0.000
29:     4  -51011.097  -69092.334  -55292.108  -64782.511  -74479.813  -51948.395  -49763.884
30: p-val       0.000       0.000       0.000       0.000       0.000       0.000       0.000
