categories,2002,2005,2008,2011,2014,2017,2020
(Intercept),-64198.792547675,-112054.771620069,-87355.772707596,-183137.771707575,-168066.647638321,-181243.774455632,-144969.380100135
bage35-44,25684.2481479416,54221.8719917324,12275.3892932927,34232.8255796234,-3117.62189593584,1593.25395150035,-19635.5160743003
bage45-54,70908.6229685432,120843.431637288,75346.6592747595,96495.0756673185,71059.4712287147,54620.7340045508,34380.7976678676
bage54-65,67604.0354128586,139002.743773274,175896.090516305,210893.105106995,132883.906185262,124384.134194647,86362.336556773
bage65-75,45863.8492260551,63732.4885901496,104485.412898154,157979.30963271,130100.293192376,108908.931240009,89051.5822511268
bage75,21663.6208533645,29907.6376353071,51864.2014723512,74909.5283267159,31249.2023838089,40199.8327265436,61242.2022855626
classcapitalist,77866.8367999116,154363.327941938,141794.365169231,196179.275767951,143752.620077585,192225.342425386,149113.123138775
classself-employed,58455.8408371683,53280.6725856578,63579.7044072699,77071.5561601691,101383.787676882,106913.530601705,83014.6044053653
classinactive,-9028.43324487255,-2154.07755275898,-27486.9760684405,-9734.24608843708,12132.8626878688,-15528.4049965175,-12484.4581559559
classretired,13931.0491185516,27092.1903302678,21515.74334542,75130.4136065922,88874.5847530705,92862.2542040842,76930.7848976836
classmanager,86245.1532374393,145893.848685456,80320.3864181789,101991.624268582,213113.906891989,123512.461758308,157025.132571129
sexWomen,-2756.01938694498,-8368.80617815555,-26118.9556643625,-23849.4599614835,-17442.0238898379,-11310.2633668976,-14894.7801731142
homeownerHomeowner,97178.070067888,184360.442853252,174248.70352304,160437.137011195,148256.694104796,172177.322064099,191841.444061926
