sa0100,wave,soc_exp
BE,1,16.4
BG,1,11.8
CZ,1,13.4
DK,1,17.1
DE,1,16.8
EE,1,13.4
IE,1,14.3
GR,1,17.9
ES,1,15.1
FR,1,19.2
HR,1,13.7
IT,1,18.5
CY,1,12.6
LT,1,13.1
LV,1,14.3
LU,1,15.1
HU,1,15.4
MT,1,11.8
NL,1,11.1
AT,1,19.2
PL,1,14.8
PT,1,16.6
RO,1,12.5
SL,1,17.7
SL,1,14.2
FI,1,17.4
SE,1,13.8
BE,2,17.2
BG,2,12.2
CZ,2,13.2
DK,2,17.2
DE,2,15.4
EE,2,11
IE,2,11.8
GR,2,19.8
ES,2,16.5
FR,2,20
HR,2,14.3
IT,2,20.1
CY,2,14.1
LT,2,10.2
LV,2,10.8
LU,2,14.9
HU,2,13.7
MT,2,11
NL,2,11.9
AT,2,19.1
PL,2,14.6
PT,2,18
RO,2,10.5
SL,2,17.3
SL,2,14
FI,2,19.5
SE,2,13.7
BE,3,16.9
BG,3,11.1
CZ,3,12.2
DK,3,16.1
DE,3,15.5
EE,3,11.9
IE,3,7.7
GR,3,19.4
ES,3,15.3
FR,3,19.6
HR,3,13
IT,3,19.7
CY,3,12.9
LT,3,10.3
LV,3,10.9
LU,3,14.8
HU,3,11.9
MT,3,8.9
NL,3,11.1
AT,3,18.2
PL,3,15.2
PT,3,16.6
RO,3,10.9
SL,3,15.9
SL,3,13.5
FI,3,18.8
SE,3,12.8
BE,4,17.8
BG,4,11.6
CZ,4,14.1
DK,4,15.2
DE,4,16.9
EE,4,12.6
IE,4,6.8
GR,4,19.7
ES,4,18.6
FR,4,20.3
HR,4,12.9
IT,4,21.8
CY,4,12.3
LT,4,12.1
LV,4,12.9
LU,4,15.1
HU,4,10.8
MT,4,8.1
NL,4,10.5
AT,4,19.5
PL,4,16
PT,4,17.3
RO,4,12.5
SL,4,15.9
SL,4,14.9
FI,4,18.7
SE,4,11.9
