V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.90253191433814,0.191216877989909,-20.4089301915289,0
factor(wave)2,-0.227298673032366,0.116201221253406,-1.95607817698133,0.0504559454891036
factor(wave)3,-0.202065154300211,0.115261512680641,-1.75310170412286,0.0795845510911861
factor(wave)4,-0.192836624515777,0.114868868239727,-1.6787544568937,0.093199907909669
hsize,-0.140435742329441,0.0079676384550089,-17.6257674243684,0
head_gendrfemale,0.0110505140337603,0.0194724520139408,0.567494736967328,0.570378101324159
age0-29,-0.0694322000867804,0.0498128020138967,-1.39386256704472,0.163359110007503
age50-69,0.339003184004154,0.0248118576936179,13.662950521087,0
age+70,0.712261798295,0.0324008416028183,21.9828178238755,0
edu_refprimary,-0.334704488103757,0.0247727110897717,-13.5110156853988,0
edu_reftertiary,0.112169571975397,0.0187930740962794,5.96866544561777,2.39202013752049e-09
homeownhomeowner,0.341529213276985,0.0209515927802153,16.3008711012889,0
otherpmultiowner,1.57701040408527,0.0174653429502946,90.2936981296822,0
bondshas-bonds,0.630569049395754,0.0358376514224927,17.5951554961548,0
mutualhas-mutual,0.364419424738042,0.0231893212908708,15.7149672544106,0
shareshas-shares,0.543830012552016,0.0231087315807858,23.5335293350412,0
managedhas-managed,0.443186407581374,0.0400737078494367,11.0592812935228,0
otherfinhas-otherfin,0.312976865846169,0.0346233721886855,9.03946802583389,0
haspvpenshas-pvpens,0.526480731484112,0.0190522759860506,27.6334823130623,0
class_nomanager2,0.789261150703903,0.193815368598826,4.0722320237544,4.6564758971579e-05
class_nomanager3,0.391056070072559,0.175130637515641,2.23293922536902,0.0255529524179212
class_nomanager4,0.669551329475978,0.0228847975670235,29.2574722374117,0
random_part,0.087840244915909,0.552526670569736,0.296344583905458,0.74330051795136
eval,108814.241702754,109064.292236708,-54383.1208513772,108766.241702754
