V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.90674214307121,0.199015812022228,-19.6303102923042,0
factor(wave)2,-0.267129484263278,0.122187571771551,-2.18622467400137,0.0287991719330478
factor(wave)3,-0.216648001890701,0.121172718200956,-1.78792722575891,0.0737877497292367
factor(wave)4,-0.195691637492846,0.120799627830856,-1.61996887744435,0.105238962580142
hsize,-0.104828597113321,0.00921419427602813,-11.3768598721698,0
head_gendrfemale,0.00133210041040583,0.0243282529296315,0.0547552844940771,0.956333424728848
age0-29,-0.451003419132045,0.0764662966830385,-5.89806802075829,3.67782360122249e-09
age50-69,0.280633873467744,0.0288377085091027,9.73149005161632,0
age+70,0.579829739403236,0.0377809124865908,15.3471608079617,0
edu_refprimary,-0.421662577580858,0.0317817524763731,-13.2674426274739,0
edu_reftertiary,0.172012978375148,0.0218129423983775,7.88582187737966,3.10862446895044e-15
homeownhomeowner,0.342876456438003,0.0260626125109908,13.1558743887786,0
otherpmultiowner,1.7044481561299,0.0214805388144249,79.3484824033044,0
bondshas-bonds,0.604087434829334,0.0386239769481867,15.6402183969741,0
mutualhas-mutual,0.442223619406531,0.0276757867635866,15.9787189858093,0
shareshas-shares,0.554790512899602,0.0290928011330265,19.0696836087673,0
managedhas-managed,0.476791015309619,0.047210208364686,10.0993202916314,0
otherfinhas-otherfin,0.248062931703687,0.0500728188598578,4.95404367782765,7.2686879182271e-07
haspvpenshas-pvpens,0.0730140495628587,0.0255232658613234,2.86068600936764,0.0042272549083191
class_nomanager2,0.786639106975683,0.195551902606147,4.02266148522226,5.75441740040539e-05
class_nomanager3,0.339903202257077,0.173844693738706,1.95521183274056,0.0505580725138768
class_nomanager4,0.644261945601551,0.0267294115436906,24.1031099599207,0
random_part,0.0898918962543814,0.554825941771445,0.299775353440616,0.744841891742098
eval,81667.4895330257,81913.0579214069,-40809.7447665128,81619.4895330257
