V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-2.24393502120252,0.280183848131744,-8.0087950685416,1.11022302462516e-15
factor(wave)2,0.559350605865158,0.296129613857398,1.88887088521486,0.0589091315676353
factor(wave)3,0.581272524218379,0.297705393850349,1.95250921288505,0.0508777782288463
factor(wave)4,0.616089931106462,0.297693314436068,2.0695457413061,0.0384949036382578
tenuremortaged,0.213536817888515,0.0272249393563736,7.84342676004985,4.44089209850063e-15
tenurerented,-0.610096371545499,0.014670655174083,-41.5861707814717,0
tenurefree-use,-0.245442549726502,0.0221557026132202,-11.0780756544388,0
class_nomanagerEmployer,0.324653304866302,0.163372052585381,1.98720221560926,0.0468999924373756
class_nomanagerSelf-Employed,0.507460014582175,0.154761289869022,3.2789854298297,0.00104181014670135
class_nomanagerInactive,-0.0862758945074411,0.0149729381801221,-5.76212186743548,8.30629853787457e-09
quintile.gincometop-income,0.403730895905915,0.014882118580864,27.1285901743215,0
quintile.gwealthtop-wealth,1.87882692897828,0.0227210780222303,82.690923693851,0
age0-29,-0.683656338766792,0.0313275567270006,-21.8228425767261,0
age50-69,0.454771063228636,0.0149234408333958,30.4736064762589,0
age+70,0.395247617041415,0.0208827939649431,18.9269509484667,0
quintile.gwealthtop-wealth:age0-29,0.629665953563959,0.0895689973512796,7.02995424962144,2.06590300422249e-12
quintile.gwealthtop-wealth:age50-69,0.0433800336781312,0.0273545178199992,1.58584530583155,0.112774405426022
quintile.gwealthtop-wealth:age+70,0.0969109477416805,0.0336116339482498,2.88325607409891,0.003935873412795
random_part,0.670460411512084,0.584784723197904,0.818816267240058,0.764710915141364
eval,234563.418450359,234774.160983532,-117261.70922518,234523.418450359
