V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.90274234020563,0.196866918018912,-19.8242669691752,0
factor(wave)2,-0.239172075209922,0.112588352730643,-2.12430566225726,0.0336445925647411
factor(wave)3,-0.16756874169389,0.112119143453823,-1.49455959555117,0.135029417616979
factor(wave)4,-0.142048566871213,0.111614239145783,-1.27267423904291,0.203133662595645
hsize,-0.0757457466084199,0.00842574206659905,-8.98980125545117,0
head_gendrfemale,0.00492990148493986,0.0233586728722937,0.211052293591018,0.832846465872454
age0-29,-0.50301598883951,0.0709737196490544,-7.08735559199639,1.36690658791849e-12
age50-69,0.234527011449705,0.026351663260242,8.89989406488612,0
age+70,0.548136479553351,0.0372491100424261,14.7154248498564,0
edu_refprimary,-0.481200723055084,0.0301051508068216,-15.9839997528279,0
edu_reftertiary,0.221550244726248,0.0212698915070615,10.4161436203233,0
homeownhomeowner,0.338448339689617,0.0238163737969048,14.210741844067,0
otherpmultiowner,1.93505912541416,0.0204973423707589,94.4053668232949,0
bondshas-bonds,0.540385025185047,0.0364054026313898,14.8435393135609,0
mutualhas-mutual,0.463124618670588,0.0266500267888976,17.3780170031021,0
shareshas-shares,0.531981856318265,0.0271398441991678,19.6015073783871,0
managedhas-managed,0.435079678829595,0.0446596415828218,9.74212204598048,0
otherfinhas-otherfin,0.258799677730043,0.0477213541007343,5.42314195828866,5.85604482683522e-08
haspvpenshas-pvpens,0.114464341942279,0.0237164367967624,4.82637180800721,1.39042820812563e-06
class_nomanager2,0.649885795464446,0.195431700858749,3.32538576192487,0.000882962755778038
class_nomanager3,0.194439324351006,0.170298125464008,1.14175845342525,0.253554436215919
class_nomanager4,0.533420417027598,0.0264435947074023,20.1720084931675,0
random_part,0.0759994231945364,0.569866024602619,0.275643357338256,0.754871643968554
eval,88372.6048210501,88618.1732094313,-44162.302410525,88324.6048210501
