Feature,Gain,Cover,Frequency
otherp,0.452827192871787,0.057073144718109,0.0707704371691825
sa0100_FR,0.155528225710873,0.0390906259533061,0.0111742795530288
class_Inactive,0.0525408026579805,0.0198957895452506,0.0286218388551264
hsize,0.0304615898485928,0.113131841304033,0.185257792589688
edu_ref_tertiary,0.0293758372290945,0.0254290224154597,0.0407763183689473
sa0100_DE,0.0249987243489865,0.0130065546407189,0.00960595961576162
homeown,0.0248525063815254,0.0407179521064876,0.0597921976083121
age_+70,0.0235704050984724,0.0260151581085357,0.0333267986669281
sa0100_ES,0.0206693842541664,0.0168751961756148,0.0113703195451872
wave_1,0.0137467726088864,0.0201504296591976,0.0286218388551264
age_30-49,0.0109728410946997,0.0302461327597754,0.0358753185649873
sa0100_HU,0.00997875552310482,0.0258506651644461,0.01470299941188
sa0100_BE,0.00898978104971432,0.0212110888665353,0.0113703195451872
sa0100_EE,0.00876954599351565,0.0281759103325931,0.00862575965496961
wave_2,0.00854768033544197,0.016162524627584,0.0378357184865713
age_50-69,0.00854393517565481,0.00895546480826436,0.0296020388159185
edu_ref_primary,0.00846246076434539,0.0297781640252865,0.0245049990198
sa0100_PL,0.00835419759904449,0.0319919583780897,0.00529307978827681
sa0100_FI,0.00811046180266895,0.0249291501668889,0.0105861595765536
head_gendr,0.00773872650885425,0.0338842555746957,0.0693981572240737
sa0100_SI,0.00741130068993691,0.0264376198993811,0.00588119976475201
sa0100_SK,0.00686410727235674,0.027260522257121,0.00627327974906881
age_0-29,0.00644803500614258,0.0180820250159619,0.0233287590668496
sa0100_IT,0.00592033525524456,0.0268002280670954,0.00842971966281121
sa0100_GR,0.00557062855408762,0.0175142321931747,0.00882179964712801
class_Worker,0.00544549154661794,0.00498778002534987,0.0297980788080768
edu_ref_secondary,0.00525251992004091,0.0191765387684364,0.0433248382670065
sa0100_IE,0.00499225709374193,0.0164927476357054,0.00646931974122721
wave_4,0.00406737964148471,0.00963345543459616,0.0248970790041168
wave_3,0.00400775749510078,0.00527097077717172,0.0315624387375025
sa0100_CZ,0.00396465928517129,0.0308589007602232,0.00470495981180161
sa0100_LV,0.00377920994401477,0.0212426354250607,0.00588119976475201
sa0100_MT,0.00312384375917188,0.0176532077047812,0.00705743971770241
class_Manager,0.00288042693382079,0.0126016154558529,0.0162713193491472
sa0100_LU,0.00270088543099224,0.0157049577247037,0.00666535973338561
sa0100_LT,0.00264367533112137,0.0194772188144605,0.00352871985885121
sa0100_CY,0.00223194595164645,0.0147815870472332,0.00548911978043521
sa0100_PT,0.00195219873907228,0.0117831848221727,0.00882179964712801
sa0100_AT,0.00113244638561754,0.0120879258488766,0.00725347970986081
sa0100_HR,0.000858735991842183,0.0140178512954233,0.00548911978043521
sa0100_NL,0.000682476401819954,0.0105836943523918,0.00588119976475201
class_Employer,0.000551979701540895,0.0123262107971058,0.00352871985885121
class_Self-Employed,0.000477876812003707,0.0126538605468495,0.00352871985885121
