Feature,Gain,Cover,Frequency
otherp,0.255468680353836,0.0556552310076232,0.0635188308038224
sa0100_FI,0.101438998301654,0.0314309288684049,0.0134907251264755
class_Worker,0.0828188829143324,0.00487015621978767,0.031478358628443
class_Inactive,0.0810753367734423,0.0255614465300312,0.0266067078883268
fin_shares,0.0750442071543459,0.0291791250562858,0.0492786209480982
sa0100_FR,0.0417591398942944,0.0297414048400979,0.019861345325089
age_0-29,0.0376273105246587,0.0213475842368865,0.0191118605958404
sa0100_NL,0.0268151368613033,0.0204775858524525,0.00749484729248642
sa0100_IE,0.0265480940222465,0.0153688404422243,0.00543376428705265
age_30-49,0.0243442089288581,0.0166649482118646,0.033914183998501
hsize,0.0234170025716217,0.094240222385178,0.14914746112048
fin_mutual,0.0220121883209495,0.0218636088932321,0.0412216601086753
homeown,0.020660056528215,0.0265622398438926,0.0440322278433577
fin_managed,0.0201621374405451,0.0290705515866669,0.031478358628443
sa0100_DE,0.0192742624887307,0.0189830484579456,0.010492786209481
age_+70,0.0172998387374311,0.0374624743659097,0.035038411092374
age_50-69,0.0147042696601877,0.00990208001924846,0.0271688214352633
edu_ref_tertiary,0.0117280948133094,0.016830178148155,0.0266067078883268
sa0100_IT,0.0100420396336651,0.0231549771991484,0.00918118793329586
fin_bonds,0.00774133762079476,0.018253348392135,0.0232340266067079
sa0100_PL,0.00730593179972341,0.0304526342474988,0.00524639310474049
fin_otherfin,0.00687956830716124,0.0204086934154572,0.029229904440697
sa0100_EE,0.00663224291908097,0.0236949743687814,0.00618324901630129
sa0100_CZ,0.0061380837514433,0.0263381987686056,0.00487165074011617
wave_2,0.00539260334445607,0.0101044479855837,0.0275435637998876
head_gendr,0.00522783278150893,0.0261653153628307,0.0532134157766536
sa0100_SK,0.00466068949427466,0.0243859698334194,0.00374742364624321
sa0100_SI,0.00405518542204682,0.020281592210016,0.00524639310474049
sa0100_HU,0.00340585737786805,0.0206602070725109,0.0121791268502904
wave_1,0.00333924612526556,0.0102136594991363,0.019861345325089
edu_ref_primary,0.00331112196427854,0.0173628979476829,0.0161139216788458
sa0100_GR,0.00300759115081278,0.0199763014379081,0.00337268128161889
sa0100_LV,0.00248009997206741,0.0233096325255171,0.00393479482855537
edu_ref_secondary,0.00241292953179262,0.0140381264334833,0.0311036162638186
sa0100_LT,0.00178692650764343,0.0212444147751524,0.00318531009930673
wave_4,0.00178494662581191,0.00773972721467167,0.0215476859658984
sa0100_ES,0.00162918485713607,0.0118107955812514,0.00843170320404722
sa0100_AT,0.0016023695527738,0.0146921031190991,0.00618324901630129
wave_3,0.00155732558141728,0.00762851544357975,0.0200487165074012
class_Manager,0.00144474876170246,0.0120359629161976,0.0108675285741053
sa0100_BE,0.00124404966735554,0.0112587805585498,0.00730747611017426
sa0100_LU,0.00120106805162878,0.0158452391048798,0.00637062019861345
sa0100_MT,0.00115282292235096,0.0126089426763911,0.00655799138092561
sa0100_PT,0.00100072762042511,0.00821850376310515,0.00843170320404722
sa0100_CY,0.000620852114143097,0.00865558373278289,0.00430953719317969
sa0100_HR,0.000303964822253885,0.0163110050609614,0.00243582537005809
class_Employer,0.000224265684302054,0.00764392073916154,0.00224845418774592
class_Self-Employed,0.000216539744854307,0.0102938736486144,0.00243582537005809
