Feature,Gain,Cover,Frequency
otherp,0.250035580194317,0.0543299628498092,0.0603273864263381
class_Worker,0.13519708435736,0.0238401839697537,0.0316350928821041
sa0100_FI,0.10063011179698,0.0335884359177734,0.0125068971859481
fin_shares,0.0686151906639339,0.0283218437941857,0.0446937649439029
sa0100_FR,0.0383942769945758,0.0261179014276999,0.0207835203237079
age_0-29,0.0337165383541543,0.0192499202758953,0.0147139966893507
haspvpens,0.0288593086854693,0.0202464670701536,0.0411991907301821
sa0100_IE,0.0273506796358972,0.0178651590228804,0.00790877322052603
sa0100_NL,0.0260143190630046,0.0272746771120225,0.00864447305499356
class_Inactive,0.0248124094742694,0.00955185375902413,0.0132425970204157
hsize,0.023867243006899,0.0877307258324449,0.147507816810741
age_30-49,0.0232915366065524,0.0168059648027263,0.0327386426338054
fin_mutual,0.020719259379433,0.0202092523919014,0.0364171418061431
fin_managed,0.0197321197970298,0.0353475090133446,0.0312672429648703
age_+70,0.0194598216362607,0.0328331560662051,0.0338421923855067
homeown,0.0182783821394966,0.0216598240398333,0.0443259150266691
sa0100_DE,0.0172600289196409,0.0188757240132836,0.00882839801361045
age_50-69,0.01669629150873,0.0121777114258083,0.0292440684200846
edu_ref_tertiary,0.0107976123872193,0.0159686479575821,0.0279565937097664
sa0100_IT,0.00958255350604126,0.0325259982354224,0.00864447305499356
sa0100_PL,0.00821832503650354,0.0265082830104188,0.00459812396542211
fin_bonds,0.00703448311196535,0.0240462403078748,0.0229906198271105
sa0100_CZ,0.00625892379689024,0.0221050565620025,0.00423027404818834
wave_2,0.00617560290171347,0.0093638485315455,0.031819017840721
sa0100_EE,0.00614331451141037,0.0261111750877064,0.00570167371712341
fin_otherfin,0.00611174439324091,0.0200059493331763,0.0275887437925326
head_gendr,0.00520629266585847,0.0255064195387063,0.0502115137024094
sa0100_SK,0.00508185334638085,0.0270490960189647,0.00404634908957145
sa0100_SI,0.00397410943351662,0.0197869975755156,0.00717307338605849
wave_1,0.00353933340287296,0.0169689118854177,0.0209674452823248
sa0100_HU,0.00351820113303366,0.0199534719104466,0.0093801728894611
sa0100_GR,0.0033807804719911,0.0172358076488717,0.00514989884127276
edu_ref_primary,0.00324365853780634,0.017655990281964,0.0193121206547729
sa0100_LV,0.00264423073556017,0.0182419021721297,0.00423027404818834
sa0100_ES,0.00244081683072736,0.0118635723599755,0.0106676475997793
wave_4,0.00212181637684774,0.010346416344283,0.020599595365091
edu_ref_secondary,0.00176712503375472,0.0160260643590183,0.0275887437925326
wave_3,0.00176302948853433,0.00571774966586638,0.0211513702409417
sa0100_LT,0.00173477689808007,0.017823608032776,0.00275887437925327
sa0100_LU,0.00115990195415433,0.0145654155846617,0.00551774875850653
sa0100_AT,0.00114350350925493,0.00938518954275549,0.00625344859297407
sa0100_BE,0.00112766783256374,0.00891102797961674,0.00680522346882472
sa0100_MT,0.000915544629171535,0.012580541587745,0.00551774875850653
sa0100_PT,0.000731929676636056,0.0115213483995548,0.00680522346882472
sa0100_CY,0.000620946383998382,0.0118772747752002,0.00386242413095457
sa0100_HR,0.000275178115872366,0.0112818750099346,0.00220709950340261
class_Self-Employed,0.000231800673434029,0.00661107531383513,0.0034945742137208
class_Employer,0.000124761010962611,0.0064287722022869,0.00294279933787015
