"",V1
positive,1
table1,450377
table2,62257
table3,34882
table4,95374
overall.Accuracy,0.848902611644294
overall.Kappa,0.566366473517962
overall.AccuracyLower,0.848024800366681
overall.AccuracyUpper,0.849777277691028
overall.AccuracyNull,0.797389911182317
overall.AccuracyPValue,0
overall.McnemarPValue,0
byClass.Sensitivity,0.732204274659133
byClass.Specificity,0.878554680337239
byClass.Pos Pred Value,0.605045961771479
byClass.Neg Pred Value,0.928116737659683
byClass.Precision,0.605045961771479
byClass.Recall,0.732204274659133
byClass.F1,0.66257941483985
byClass.Prevalence,0.202610088817683
byClass.Detection Rate,0.148351973121374
byClass.Detection Prevalence,0.245191245780771
byClass.Balanced Accuracy,0.805379477498186
mode,sens_spec
