"",V1
positive,1
table1,529788
table2,36485
table3,39727
table4,36890
overall.Accuracy,0.881454059014761
overall.Kappa,0.42482783661919
overall.AccuracyLower,0.880661387729687
overall.AccuracyUpper,0.882243291192771
overall.AccuracyNull,0.880824091213116
overall.AccuracyPValue,0.0596427258452807
overall.McnemarPValue,7.95053881206557e-32
byClass.Sensitivity,0.481485832126029
byClass.Specificity,0.9355699459448
byClass.Pos Pred Value,0.502759795570698
byClass.Neg Pred Value,0.930244155114439
byClass.Precision,0.502759795570698
byClass.Recall,0.481485832126029
byClass.F1,0.491892900954718
byClass.Prevalence,0.119175908786884
byClass.Detection Rate,0.0573815116116287
byClass.Detection Prevalence,0.114133055421612
byClass.Balanced Accuracy,0.708527889035415
mode,sens_spec
