Feature,Gain,Cover,Frequency
otherp,0.216371848465722,0.0525133862026553,0.06797583081571
sa0100_FI,0.150218122502693,0.044101374906596,0.0175604229607251
class_Worker,0.100359066579009,0.00822531785466848,0.0400302114803625
class_Inactive,0.0857954234018185,0.0290560702846133,0.028512084592145
sa0100_FR,0.0595390466290174,0.0273294373720045,0.0141616314199396
age_0-29,0.0417454882991818,0.0272952838861241,0.0219033232628399
age_30-49,0.032127829849467,0.0270167141024754,0.0383308157099698
sa0100_NL,0.0316728289237112,0.0217854400550101,0.0101963746223565
hsize,0.0299448205133062,0.111643735267323,0.186933534743202
homeown,0.026245330589116,0.0244321379425749,0.0609894259818731
sa0100_IE,0.0262097870927652,0.0151483631465943,0.00528700906344411
edu_ref_tertiary,0.0252349836221623,0.0187461409480837,0.039463746223565
sa0100_DE,0.0230676125654869,0.0169067207460601,0.00830815709969789
age_+70,0.0218634543087522,0.0382395420477836,0.0388972809667674
age_50-69,0.0203295547387578,0.0169094052630726,0.0307779456193353
sa0100_IT,0.00955923806461701,0.026567890412897,0.00887462235649547
sa0100_PL,0.00899676614596817,0.0287069285984429,0.00528700906344411
sa0100_ES,0.0083120453977411,0.0131901582855004,0.0109516616314199
edu_ref_primary,0.00744115918390276,0.0244975933978199,0.0287009063444109
sa0100_GR,0.00716203061924418,0.0264864384927475,0.00566465256797583
sa0100_EE,0.0071568978708823,0.0276293016797938,0.00925226586102719
head_gendr,0.00713723575594876,0.036231907421262,0.0713746223564955
sa0100_SK,0.00686470161877617,0.0282634551554455,0.00490936555891239
wave_2,0.0060315725092592,0.0074884722095652,0.0347432024169184
sa0100_HU,0.00489887701792867,0.0188896227461707,0.0111404833836858
wave_1,0.00471027976611457,0.0148568456827199,0.0279456193353474
sa0100_SI,0.00412745898874643,0.0245980874363119,0.00547583081570997
sa0100_CZ,0.00392195541629708,0.029852088028657,0.00415407854984894
sa0100_LV,0.00345553138382922,0.023279213035466,0.00509818731117825
edu_ref_secondary,0.00300463960926281,0.0207770636553144,0.040785498489426
sa0100_LT,0.00273155964306788,0.0217640098437732,0.00358761329305136
wave_3,0.00230912613220399,0.00653542431087104,0.0324773413897281
wave_4,0.00222680487774516,0.00639202496878876,0.0245468277945619
class_Manager,0.00187286015975482,0.0138412642982117,0.0113293051359517
sa0100_AT,0.00152237906913284,0.0168627174207368,0.006797583081571
sa0100_BE,0.00150727223961235,0.0121186445924121,0.00396525679758308
sa0100_MT,0.00127711126765718,0.0130664012162248,0.0077416918429003
sa0100_LU,0.000871024923812934,0.0141607385226541,0.00698640483383686
sa0100_CY,0.000657039864302689,0.0112190840251977,0.00377643504531722
sa0100_HR,0.000522889249188453,0.0165084801622277,0.00264350453172205
sa0100_PT,0.000504249389382114,0.0130227579835801,0.00604229607250755
class_Self-Employed,0.00025199482783682,0.0108074490374688,0.00377643504531722
class_Employer,0.000240100926817337,0.0130368673540993,0.00264350453172205
