Feature,Gain,Cover,Frequency
otherp,0.194147737632252,0.0379206272643985,0.0631543397500844
class_Worker,0.144692381203329,0.0146591380904536,0.035629854778791
sa0100_FI,0.130790068046196,0.0236052795784799,0.0113137453562985
fin_shares,0.0736978798200372,0.0259173971268645,0.0481256332320162
sa0100_FR,0.0397513476575154,0.0236219859348415,0.0172239108409321
age_0-29,0.0356546437981079,0.0259289253078009,0.0192502532928065
sa0100_NL,0.0329356203774659,0.026873484306702,0.0123269165822357
hsize,0.0310807754192533,0.11646912385436,0.134414049307666
haspvpens,0.0302938462330284,0.0199300125345203,0.0437352245862884
class_Inactive,0.0284127042893001,0.00740702390287084,0.0175616345829112
sa0100_IE,0.0274330789419793,0.0183179718593992,0.00624788922661263
age_30-49,0.0252474035555523,0.0218270931004744,0.0260047281323877
fin_mutual,0.0204571689345519,0.020522998310482,0.0425531914893617
age_+70,0.0197223295533784,0.0247432112819584,0.0281999324552516
homeown,0.0177680333934407,0.028081217676642,0.0379939209726444
age_50-69,0.0176335436723741,0.00916328436837862,0.0265113137453563
sa0100_DE,0.0151522380385827,0.0159482185914214,0.00861195542046606
fin_managed,0.0145443954564449,0.0261663712678324,0.0287065180682202
edu_ref_tertiary,0.00934623315603315,0.0126797770774739,0.0261735900033772
sa0100_IT,0.00837754377241316,0.0254040197487937,0.00776764606551841
fin_bonds,0.0073946547524553,0.022495561671944,0.0263424518743668
sa0100_PL,0.00739106675568186,0.0242098851386149,0.00624788922661263
wave_2,0.00632985423230417,0.0115556377104082,0.0337723741979061
head_gendr,0.00588861351620574,0.0256095825973208,0.052178318135765
fin_otherfin,0.00588650587524659,0.0202110823756366,0.0312394461330632
sa0100_CZ,0.00520728327857078,0.0255603259813526,0.0038838230327592
sa0100_EE,0.00493675366911685,0.0199594690244303,0.00591016548463357
sa0100_SK,0.00441163576669562,0.0285202875460171,0.00422154677473826
sa0100_GR,0.00389303100068876,0.0189539212817955,0.00557244174265451
wave_1,0.00372162197117779,0.0186734408124481,0.0192502532928065
sa0100_HU,0.00363882751166683,0.0187096845836981,0.01080715974333
sa0100_SI,0.00332432215871167,0.0191343865717951,0.00455927051671733
edu_ref_primary,0.00306258569470506,0.0194776515539906,0.019081391421817
edu_ref_secondary,0.00236400484321252,0.0171254394416835,0.0288753799392097
sa0100_ES,0.00232300648617809,0.0165665438967248,0.00759878419452888
wave_4,0.00221642742272102,0.0117229121343049,0.0217831813576494
sa0100_LV,0.0016390204143144,0.0185474154989306,0.00303951367781155
wave_3,0.00156150985163149,0.00739598139192588,0.0229652144545762
sa0100_AT,0.00126342665394794,0.0167288613756551,0.0060790273556231
sa0100_LT,0.00120273091133729,0.0193871406425544,0.0021952043228639
sa0100_CY,0.00111286500434496,0.0121116071368773,0.00658561296859169
sa0100_PT,0.00089891018938668,0.0112601204833177,0.00776764606551841
sa0100_BE,0.00080991409548351,0.0150516614169802,0.00742992232353935
sa0100_LU,0.000792441988738028,0.0125482659399246,0.00675447483958122
sa0100_MT,0.000703273695873118,0.0101831412279509,0.00506585612968592
sa0100_HR,0.000394053178018557,0.0136769664568391,0.0021952043228639
class_Self-Employed,0.000314946113111307,0.0109431560002691,0.00405268490374873
class_Employer,0.000177740017238556,0.00849270892246205,0.00303951367781155
