V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.90639852436572,0.191035415792345,-20.4485566624566,0
factor(wave)2,-0.217834332409372,0.116535786445225,-1.86924840046245,0.0615882633201865
factor(wave)3,-0.201828694197924,0.115862375822294,-1.7419692351854,0.081513827687782
factor(wave)4,-0.177692344316283,0.115081998504647,-1.54404986553226,0.122576252850823
hsize,-0.142815126953876,0.00866682049532809,-16.4783760123867,0
head_gendrfemale,0.0149779801447444,0.0208809965082205,0.717301980240635,0.473187785633221
age0-29,-0.0505327913098651,0.0514296206623036,-0.982562007246227,0.325823050929455
age50-69,0.327470627394675,0.0271753977506622,12.0502606953267,0
age+70,0.690955832474653,0.0347518965724101,19.8825359368504,0
edu_refprimary,-0.319672618064137,0.0261919610734987,-12.2049898122209,0
edu_reftertiary,0.0891662345634936,0.0203055591093207,4.39122282146687,1.12714957487547e-05
homeownhomeowner,0.323476719047698,0.0220043576260924,14.700575428938,0
otherpmultiowner,1.57582475730091,0.0184921358795096,85.2159408501328,0
bondshas-bonds,0.635609104968965,0.0391793720722558,16.2230549227985,0
mutualhas-mutual,0.358132951131407,0.0254100335189579,14.0941550062975,0
shareshas-shares,0.531638202265374,0.0252704777975245,21.037916517647,0
managedhas-managed,0.44607510208859,0.0443188694433894,10.0651281878565,0
otherfinhas-otherfin,0.307254712366815,0.0377410738633236,8.14112267921984,4.44089209850063e-16
hasKgainshas-Kgains,0.0713608290864324,0.0469135786917498,1.52111245989814,0.128231618212186
haspvpenshas-pvpens,0.549299509732708,0.0203909001234341,26.938463059874,0
class_nomanager2,0.682072275439672,0.222976971944086,3.0589359497209,0.00222124634533216
class_nomanager3,0.338220310303603,0.189484654269827,1.7849482936068,0.0742697042238443
class_nomanager4,0.667404074255749,0.0246619495756041,27.0620971067086,0
random_part,0.0876654033793495,0.551627836790089,0.296050387821544,0.742695872419205
eval,108806.586420213,109067.055726415,-54378.2932101065,108756.586420213
