facine3,renthog,renthog1,bage,homeowner,worker,young,sex,class,actreales,riquezanet,sv_year
4557.57081899387,30540.4,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,90000,92581,2002
144.482336283186,25562.6,Middle,35-44,Non-Owner,Worker,Not-Young,Women,inactive,150000,466374.8,2002
212.477871369805,10700,Low,75,Homeowner,Non-Worker,Not-Young,Man,retired,125459,126659,2002
15.2127338541468,14870,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,226466.8,227566.8,2002
32.8922253041617,32480.4,Middle,45-54,Homeowner,Worker,Not-Young,Women,inactive,160000,171200,2002
5724.91156673329,45752.4,Middle,0-34,Homeowner,Worker,Young,Man,worker,69000,89784.4,2002
252.360887396215,24379.6,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,retired,560000,646500,2002
346.46710877767,10731.8,Low,75,Homeowner,Non-Worker,Not-Young,Man,retired,180379.4,181379.4,2002
2387.45062284704,33054.2,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,240000,421800,2002
5889.45023902777,25559,Middle,0-34,Homeowner,Worker,Young,Man,worker,94808.8,98409.8,2002
3749.86721711068,58200.6,Middle,54-65,Homeowner,Worker,Not-Young,Man,worker,150000,170400,2002
5889.45023902777,18005,Low,0-34,Homeowner,Worker,Young,Man,worker,12000,16439,2002
4229.4871247337,30041,Middle,35-44,Non-Owner,Worker,Not-Young,Man,worker,0,-500,2002
156.067364855379,22500,Middle,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,210000,352822.2,2002
238.761616915859,30343.6,Middle,54-65,Homeowner,Non-Worker,Not-Young,Women,self-employed,368193.4,401445.6,2002
6884.54391465022,13100,Low,35-44,Homeowner,Worker,Not-Young,Women,inactive,8900,8910,2002
390.438160855412,12882.2,Low,75,Homeowner,Worker,Not-Young,Man,retired,73600,95760,2002
2305.69333592208,19355,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,120000,120400,2002
5939.60627063605,27007.4,Middle,35-44,Homeowner,Worker,Not-Young,Women,inactive,47815,44815,2002
5163.528671531,42329.6,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,106378,109383,2002
