wave,country,implicate,p80
1,ES,1,61000
1,ES,2,60500
1,ES,3,62800
1,ES,4,61000
1,ES,5,61497
1,PT,1,43500
1,PT,2,43750
1,PT,3,45000
1,PT,4,45000
1,PT,5,44650
1,DE,1,77200
1,DE,2,77400
1,DE,3,75670
1,DE,4,78070
1,DE,5,77620
1,SI,1,24000
1,SI,2,21574
1,SI,3,21187.9
1,SI,4,22500
1,SI,5,21868
1,IT,1,59661.10712
1,IT,2,59661.10712
1,IT,3,59661.10712
1,IT,4,59661.10712
1,IT,5,59661.10712
1,CY,1,107916.8
1,CY,2,113000
1,CY,3,113000
1,CY,4,103574
1,CY,5,103456.6
1,AT,1,71572
1,AT,2,80480
1,AT,3,80068
1,AT,4,80962
1,AT,5,73000
1,SK,1,17993.8
1,SK,2,18050
1,SK,3,18500
1,SK,4,19000
1,SK,5,17852.9
1,FI,1,45423.0000000001
1,FI,2,45423.0000000001
1,FI,3,45423.0000000001
1,FI,4,45423.0000000001
1,FI,5,45423.0000000001
1,GR,1,29971
1,GR,2,28280
1,GR,3,29482
1,GR,4,28493
1,GR,5,28000
1,NL,1,83630
1,NL,2,80298.1441
1,NL,3,82100
1,NL,4,79749.999
1,NL,5,79189.9998
1,LU,1,138000
1,LU,2,134000
1,LU,3,138000
1,LU,4,134770
1,LU,5,133392
1,MT,1,91547.972
1,MT,2,88986.817
1,MT,3,92123.267
1,MT,4,93174.94
1,MT,5,92700
1,FR,1,68995
1,FR,2,68505
1,FR,3,68817
1,FR,4,67499
1,FR,5,68645
1,BE,1,140000
1,BE,2,138000
1,BE,3,139000
1,BE,4,138700
1,BE,5,135548
2,ES,1,64000
2,ES,2,64000
2,ES,3,64142
2,ES,4,63689
2,ES,5,64303
2,IE,1,56607
2,IE,2,56607
2,IE,3,56607
2,IE,4,56607
2,IE,5,56607
2,PT,1,44709
2,PT,2,44534.75305
2,PT,3,43654
2,PT,4,44000
2,PT,5,44754
2,DE,1,85800
2,DE,2,86260
2,DE,3,84600
2,DE,4,86300
2,DE,5,85500
2,SI,1,21807
2,SI,2,21222
2,SI,3,21816
2,SI,4,22207
2,SI,5,22227
2,IT,1,55500
2,IT,2,55500
2,IT,3,55500
2,IT,4,55500
2,IT,5,55500
2,CY,1,74222
2,CY,2,81860
2,CY,3,80912
2,CY,4,80000
2,CY,5,81000
2,AT,1,75100
2,AT,2,72963
2,AT,3,73000
2,AT,4,72357
2,AT,5,72963
2,HU,1,13248.60055
2,HU,2,13248.60055
2,HU,3,13248.60055
2,HU,4,13248.60055
2,HU,5,13248.60055
2,SK,1,13625
2,SK,2,14135
2,SK,3,13480
2,SK,4,12899
2,SK,5,13820
2,FI,1,53883
2,FI,2,53883
2,FI,3,53883
2,FI,4,53883
2,FI,5,53883
2,GR,1,20000
2,GR,2,20000
2,GR,3,20000
2,GR,4,19000
2,GR,5,20000
2,NL,1,94231.810837
